2026-02-17 14:25:47.180 [info] (Windsurf) 2026-02-17 14:25:47.179 [INFO]: [windsurf#terminal] Shell integration DETECTED for managed
2026-02-17 14:25:47.333 [info] (Windsurf) 2026-02-17 14:25:47.333 [INFO]: [windsurf#terminal] Shell integration DETECTED for unknown
2026-02-17 14:25:47.495 [info] 2026/02/17 14:25:47 maxprocs: Leaving GOMAXPROCS=8: CPU quota undefined
2026-02-17 14:25:47.495 [info] I0217 14:25:47.469712 150255 main.go:604] Setting GOMAXPROCS to 4
2026-02-17 14:25:47.495 [info] I0217 14:25:47.469898 150255 main.go:819] Starting language server process with pid 150255
2026-02-17 14:25:47.495 [info] I0217 14:25:47.470081 150255 server.go:359] Language server will attempt to listen on host 127.0.0.1
2026-02-17 14:25:47.495 [info] I0217 14:25:47.470205 150255 server.go:366] Language server listening on random port at 35863
2026-02-17 14:25:48.116 [info] I0217 14:25:48.116801 150255 server.go:500] Created extension server client at port 41067
2026-02-17 14:25:48.160 [info] (Windsurf) 2026-02-17 14:25:48.160 [INFO]: Language server started
2026-02-17 14:25:48.184 [info] (Windsurf) 2026-02-17 14:25:48.184 [INFO]: LS lspClient started successfully
2026-02-17 14:25:48.686 [info] I0217 14:25:48.685795 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:48.927 [info] I0217 14:25:48.926745 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:49.289 [info] I0217 14:25:49.289642 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:49.857 [info] I0217 14:25:49.856708 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:50.227 [info] I0217 14:25:50.218607 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:50.608 [info] I0217 14:25:50.608016 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:50.969 [info] I0217 14:25:50.960428 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:51.070 [info] I0217 14:25:51.070476 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:51.243 [info] I0217 14:25:51.242696 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:55.350 [info] I0217 14:25:55.350029 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:57.904 [info] I0217 14:25:57.903618 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:58.111 [info] I0217 14:25:58.111510 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:58.156 [info] I0217 14:25:58.156618 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:58.465 [info] I0217 14:25:58.465047 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:25:59.531 [info] I0217 14:25:59.531302 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:01.287 [info] I0217 14:26:01.286881 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:01.459 [info] I0217 14:26:01.446888 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:01.923 [info] I0217 14:26:01.922675 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:02.581 [info] I0217 14:26:02.581591 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:02.646 [info] I0217 14:26:02.646567 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:04.050 [info] I0217 14:26:04.040370 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:04.097 [info] I0217 14:26:04.097676 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:06.824 [info] I0217 14:26:06.823684 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:06.902 [info] I0217 14:26:06.901847 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:07.620 [info] I0217 14:26:07.620380 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:07.826 [info] I0217 14:26:07.825757 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:08.472 [info] I0217 14:26:08.463737 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:08.517 [info] I0217 14:26:08.517282 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:08.607 [info] I0217 14:26:08.607287 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:12.075 [info] I0217 14:26:12.074755 150255 completion_provider.go:869] err: context canceled
2026-02-17 14:26:12.955 [info] I0217 14:26:12.954985 150255 completion_provider.go:869] err: context canceled
2026-02-17 15:22:46.401 [info] (Windsurf) 2026-02-17 15:22:46.400 [INFO]: Shutting down all 0 managed language servers
